sale_id,sale_date,product,category,unit_price,quantity,total_amount,region,payment_method,sales_rep
1001,2025-01-01 11:47:00,Laptop,Electronics,57657.06,1,57657.06,North,Net Banking,Diya
1002,2025-01-01 12:14:00,Backpack,Fashion,1771.89,1,1771.89,North,Net Banking,Priya
1003,2025-01-01 12:28:00,Microwave Oven,Appliances,8754.8,2,17509.6,East,UPI,Rohan
1004,2025-01-01 12:48:00,Microwave Oven,Appliances,8368.44,1,8368.44,East,UPI,Diya
1008,2025-01-01 14:10:00,Bookshelf,Furniture,3822.38,2,7644.76,East,Debit Card,Priya
1011,2025-01-01 15:17:00,Smartwatch,Electronics,6386.16,3,19158.48,North,Credit Card,Sneha
1005,2025-01-01 18:16:00,Bookshelf,Furniture,3677.37,3,11032.11,North,Cash,Diya
1009,2025-01-01 19:04:00,Coffee Maker,Appliances,3336.88,4,13347.52,South,Net Banking,Priya
1006,2025-01-01 19:39:00,Pen Pack,Stationery,97.57,2,195.14,East,Net Banking,Priya
1010,2025-01-01 19:44:00,Headphones,Electronics,1984.9,1,1984.9,South,Debit Card,Aarav
1007,2025-01-01 21:18:00,Microwave Oven,Appliances,7768.24,2,15536.48,North,Credit Card,Diya
1024,2025-01-02 09:37:00,Smartphone,Electronics,23739.53,1,23739.53,South,Net Banking,Priya
1018,2025-01-02 10:55:00,T-Shirt,Fashion,841.91,2,1683.82,East,Net Banking,Priya
1022,2025-01-02 11:16:00,Headphones,Electronics,2063.9,4,8255.6,West,Credit Card,Priya
1025,2025-01-02 12:04:00,Laptop,Electronics,50280.92,2,100561.84,North,Debit Card,Diya
1017,2025-01-02 15:10:00,Air Fryer,Appliances,6683.25,1,6683.25,West,UPI,Karan
1015,2025-01-02 15:38:00,Headphones,Electronics,2050.98,3,6152.94,North,Cash,Vikram
1014,2025-01-02 17:31:00,Study Table,Furniture,5191.25,5,25956.25,North,UPI,Diya
1016,2025-01-02 17:55:00,Backpack,Fashion,1978.6,2,3957.2,North,UPI,Karan
1023,2025-01-02 19:23:00,Microwave Oven,Appliances,8179.92,5,40899.6,West,Net Banking,Anjali
1012,2025-01-02 19:29:00,Coffee Maker,Appliances,3499.46,4,13997.84,South,Debit Card,Rohan
